split,image,class_id,w_norm,h_norm,w_px,h_px,min_wh_threshold,line
train2,135_1516.jpg,0,0.022461,0.001953,23.0,2.0,0.015,0 0.562988 0.889648 0.022461 0.001953
train2,135_2017.jpg,0,0.054688,0.000977,56.0,1.0,0.015,0 0.996094 0.913574 0.054688 0.000977
train2,135_2021.jpg,0,0.060547,0.010742,62.0,11.0,0.015,0 0.916016 0.905762 0.060547 0.010742
train2,135_2071.jpg,0,0.057617,0.010742,59.0,11.0,0.015,0 0.571777 0.885254 0.057617 0.010742
train2,136_346.jpg,0,0.034180,0.005859,35.0,6.0,0.015,0 0.320801 0.891602 0.034180 0.005859
train2,137_1732.jpg,0,0.000977,0.053711,1.0,55.0,0.015,0 0.999512 0.880371 0.000977 0.053711
train2,137_1742.jpg,0,0.011719,0.053711,12.0,55.0,0.015,0 0.994141 0.840332 0.011719 0.053711
train2,137_1782.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.992676 0.646484 0.014648 0.019531
train2,137_1782.jpg,0,0.012695,0.021484,13.0,22.0,0.015,0 0.993652 0.658203 0.012695 0.021484
train2,137_1992.jpg,0,0.004883,0.038086,5.0,39.0,0.015,0 0.997559 0.153809 0.004883 0.038086
train2,137_289.jpg,0,0.026367,0.012695,27.0,13.0,0.015,0 0.155762 0.897949 0.026367 0.012695
train2,137_329.jpg,0,0.020508,0.010742,21.0,11.0,0.015,0 0.269043 0.891113 0.020508 0.010742
train2,137_329.jpg,0,0.026367,0.004883,27.0,5.0,0.015,0 0.244629 0.895996 0.026367 0.004883
train2,137_349.jpg,0,0.029297,0.007812,30.0,8.0,0.015,0 0.345703 0.889648 0.029297 0.007812
train2,137_381.jpg,0,0.049805,0.014648,51.0,15.0,0.015,0 0.249512 0.891113 0.049805 0.014648
train2,138_1783.jpg,0,0.034180,0.005859,35.0,6.0,0.015,0 0.564941 0.887695 0.034180 0.005859
train2,138_1783.jpg,0,0.040039,0.001953,41.0,2.0,0.015,0 0.999512 0.915039 0.040039 0.001953
train2,138_1793.jpg,0,0.030273,0.010742,31.0,11.0,0.015,0 0.889160 0.902832 0.030273 0.010742
train2,138_1793.jpg,0,0.009766,0.013672,10.0,14.0,0.015,0 0.995117 0.909180 0.009766 0.013672
train2,138_1793.jpg,0,0.028320,0.005859,29.0,6.0,0.015,0 0.980957 0.913086 0.028320 0.005859
train2,138_1803.jpg,0,0.017578,0.010742,18.0,11.0,0.015,0 0.920898 0.904785 0.017578 0.010742
train2,138_1803.jpg,0,0.017578,0.013672,18.0,14.0,0.015,0 0.935547 0.904297 0.017578 0.013672
train2,138_1813.jpg,0,0.005859,0.030273,6.0,31.0,0.015,0 0.997070 0.833496 0.005859 0.030273
train2,138_1983.jpg,0,0.010742,0.016602,11.0,17.0,0.015,0 0.994629 0.152832 0.010742 0.016602
train2,138_348.jpg,0,0.021484,0.013672,22.0,14.0,0.015,0 0.210938 0.893555 0.021484 0.013672
train2,138_348.jpg,0,0.032227,0.013672,33.0,14.0,0.015,0 0.194824 0.894531 0.032227 0.013672
train2,138_53.jpg,0,0.013672,0.031250,14.0,32.0,0.015,0 0.009766 0.259766 0.013672 0.031250
train2,138_69.jpg,0,0.008789,0.064453,9.0,66.0,0.015,0 0.004395 0.221680 0.008789 0.064453
train2,138_80.jpg,0,0.011719,0.042969,12.0,44.0,0.015,0 0.007812 0.252930 0.011719 0.042969
train2,139_1741.jpg,0,0.038086,0.012695,39.0,13.0,0.015,0 0.947754 0.906738 0.038086 0.012695
train2,139_1931.jpg,0,0.010742,0.034180,11.0,35.0,0.015,0 0.994629 0.121582 0.010742 0.034180
train2,139_1931.jpg,0,0.002930,0.038086,3.0,39.0,0.015,0 0.998535 0.159668 0.002930 0.038086
train2,139_234.jpg,0,0.023438,0.014648,24.0,15.0,0.015,0 0.243164 0.559082 0.023438 0.014648
train2,139_264.jpg,0,0.023438,0.014648,24.0,15.0,0.015,0 0.218750 0.676270 0.023438 0.014648
train2,139_294.jpg,0,0.023438,0.014648,24.0,15.0,0.015,0 0.191406 0.785645 0.023438 0.014648
train2,139_324.jpg,0,0.036133,0.012695,37.0,13.0,0.015,0 0.136230 0.899902 0.036133 0.012695
train2,139_324.jpg,0,0.023438,0.014648,24.0,15.0,0.015,0 0.168945 0.894043 0.023438 0.014648
train2,139_324.jpg,0,0.023438,0.002930,24.0,3.0,0.015,0 0.161133 0.902832 0.023438 0.002930
train2,139_354.jpg,0,0.015625,0.001953,16.0,2.0,0.015,0 0.184570 0.901367 0.015625 0.001953
train2,139_84.jpg,0,0.014648,0.049805,15.0,51.0,0.015,0 0.007324 0.190918 0.014648 0.049805
train2,139_84.jpg,0,0.005859,0.050781,6.0,52.0,0.015,0 0.003906 0.239258 0.005859 0.050781
train2,139_84.jpg,0,0.002930,0.021484,3.0,22.0,0.015,0 0.001465 0.214844 0.002930 0.021484
train2,139_94.jpg,0,0.005859,0.035156,6.0,36.0,0.015,0 0.002930 0.225586 0.005859 0.035156
train2,140_1008.jpg,0,0.013672,0.019531,14.0,20.0,0.015,0 0.297852 0.673828 0.013672 0.019531
train2,140_1008.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.294434 0.689941 0.014648 0.018555
train2,140_1018.jpg,0,0.013672,0.019531,14.0,20.0,0.015,0 0.323242 0.651367 0.013672 0.019531
train2,140_1018.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.319824 0.667480 0.014648 0.018555
train2,140_1028.jpg,0,0.013672,0.019531,14.0,20.0,0.015,0 0.347656 0.619141 0.013672 0.019531
train2,140_1028.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.343262 0.637207 0.014648 0.018555
train2,140_1038.jpg,0,0.013672,0.019531,14.0,20.0,0.015,0 0.366211 0.589844 0.013672 0.019531
train2,140_1038.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.363770 0.606934 0.014648 0.018555
train2,140_1048.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.383789 0.559570 0.011719 0.019531
train2,140_1048.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.379395 0.574707 0.014648 0.018555
train2,140_1058.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.401367 0.519531 0.011719 0.019531
train2,140_1058.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.396973 0.534668 0.014648 0.018555
train2,140_1068.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.414062 0.482422 0.011719 0.019531
train2,140_1068.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.409668 0.497559 0.014648 0.018555
train2,140_1078.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.419922 0.445312 0.011719 0.019531
train2,140_1078.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.415527 0.460449 0.014648 0.018555
train2,140_1088.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.425781 0.405273 0.011719 0.019531
train2,140_1088.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.417480 0.422363 0.014648 0.018555
train2,140_1098.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.425781 0.368164 0.011719 0.019531
train2,140_1098.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.418457 0.388184 0.014648 0.018555
train2,140_1108.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.427734 0.325195 0.011719 0.019531
train2,140_1108.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.417480 0.348145 0.014648 0.018555
train2,140_1118.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.424805 0.288086 0.011719 0.019531
train2,140_1118.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.414551 0.311035 0.014648 0.018555
train2,140_1128.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.421875 0.251953 0.011719 0.019531
train2,140_1128.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.411621 0.274902 0.014648 0.018555
train2,140_1138.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.414062 0.208984 0.011719 0.019531
train2,140_1138.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.403809 0.231934 0.014648 0.018555
train2,140_1148.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.405273 0.170898 0.011719 0.019531
train2,140_1148.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.395020 0.189941 0.014648 0.018555
train2,140_1158.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.399414 0.137695 0.011719 0.019531
train2,140_1158.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.389160 0.156738 0.014648 0.018555
train2,140_1168.jpg,0,0.011719,0.019531,12.0,20.0,0.015,0 0.387695 0.109375 0.011719 0.019531
train2,140_1168.jpg,0,0.014648,0.018555,15.0,19.0,0.015,0 0.377441 0.115723 0.014648 0.018555
train2,140_1903.jpg,0,0.010742,0.052734,11.0,54.0,0.015,0 0.994629 0.269531 0.010742 0.052734
train2,140_2273.jpg,0,0.029297,0.012695,30.0,13.0,0.015,0 0.780273 0.893066 0.029297 0.012695
train2,140_2413.jpg,0,0.028320,0.007812,29.0,8.0,0.015,0 0.470215 0.885742 0.028320 0.007812
train2,140_2413.jpg,0,0.037109,0.014648,38.0,15.0,0.015,0 0.492188 0.882324 0.037109 0.014648
train2,140_2419.jpg,0,0.043945,0.014648,45.0,15.0,0.015,0 0.458496 0.883301 0.043945 0.014648
train2,140_2483.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.148926 0.095703 0.014648 0.019531
train2,140_2487.jpg,0,0.009766,0.019531,10.0,20.0,0.015,0 0.209961 0.100586 0.009766 0.019531
train2,140_2487.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.188965 0.100098 0.014648 0.022461
train2,140_2487.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.146973 0.101562 0.014648 0.019531
train2,140_2487.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.148926 0.094727 0.014648 0.017578
train2,140_2497.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.184082 0.126465 0.014648 0.022461
train2,140_2497.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.142090 0.134766 0.014648 0.019531
train2,140_2497.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.144043 0.119141 0.014648 0.017578
train2,140_2507.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.180176 0.163574 0.014648 0.022461
train2,140_2507.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.138184 0.171875 0.014648 0.019531
train2,140_2507.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.140137 0.156250 0.014648 0.017578
train2,140_2517.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.178223 0.202637 0.014648 0.022461
train2,140_2517.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.136230 0.210938 0.014648 0.019531
train2,140_2517.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.138184 0.195312 0.014648 0.017578
train2,140_2527.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.172363 0.240723 0.014648 0.022461
train2,140_2527.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.134277 0.249023 0.014648 0.019531
train2,140_2527.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.136230 0.233398 0.014648 0.017578
train2,140_2537.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.167480 0.277832 0.014648 0.022461
train2,140_2537.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.134277 0.285156 0.014648 0.019531
train2,140_2537.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.134277 0.269531 0.014648 0.017578
train2,140_2547.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.169434 0.323730 0.014648 0.022461
train2,140_2547.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.135254 0.325195 0.014648 0.019531
train2,140_2547.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.137207 0.310547 0.014648 0.017578
train2,140_2548.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.166504 0.323730 0.014648 0.022461
train2,140_2548.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.133301 0.324219 0.014648 0.019531
train2,140_2548.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.136230 0.314453 0.014648 0.017578
train2,140_2557.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.171387 0.362793 0.014648 0.022461
train2,140_2557.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.137207 0.364258 0.014648 0.019531
train2,140_2557.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.139160 0.349609 0.014648 0.017578
train2,140_2567.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.174316 0.400879 0.014648 0.022461
train2,140_2567.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.141113 0.402344 0.014648 0.019531
train2,140_2567.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.141113 0.386719 0.014648 0.017578
train2,140_2577.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.179199 0.441895 0.014648 0.022461
train2,140_2577.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.146973 0.443359 0.014648 0.019531
train2,140_2577.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.146973 0.427734 0.014648 0.017578
train2,140_2578.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.146973 0.444336 0.014648 0.019531
train2,140_2587.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.183105 0.477051 0.014648 0.022461
train2,140_2587.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.152832 0.478516 0.014648 0.019531
train2,140_2587.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.154785 0.460938 0.014648 0.017578
train2,140_2597.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.194824 0.510254 0.014648 0.022461
train2,140_2597.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.160645 0.513672 0.014648 0.019531
train2,140_2597.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.164551 0.497070 0.014648 0.017578
train2,140_2607.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.203613 0.551270 0.014648 0.022461
train2,140_2607.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.171387 0.553711 0.014648 0.019531
train2,140_2607.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.173340 0.536133 0.014648 0.017578
train2,140_2617.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.216309 0.585449 0.014648 0.022461
train2,140_2617.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.185059 0.584961 0.014648 0.019531
train2,140_2617.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.184082 0.570312 0.014648 0.017578
train2,140_2627.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.229004 0.618652 0.014648 0.022461
train2,140_2627.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.197754 0.618164 0.014648 0.019531
train2,140_2627.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.196777 0.603516 0.014648 0.017578
train2,140_2637.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.247559 0.651855 0.014648 0.022461
train2,140_2637.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.216309 0.654297 0.014648 0.019531
train2,140_2637.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.218262 0.637695 0.014648 0.017578
train2,140_2647.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.264160 0.685059 0.014648 0.022461
train2,140_2647.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.234863 0.687500 0.014648 0.019531
train2,140_2647.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.237793 0.668945 0.014648 0.017578
train2,140_2657.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.283691 0.717285 0.014648 0.022461
train2,140_2657.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.254395 0.719727 0.014648 0.019531
train2,140_2657.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.257324 0.701172 0.014648 0.017578
train2,140_2667.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.313965 0.745605 0.014648 0.022461
train2,140_2667.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.281738 0.750977 0.014648 0.019531
train2,140_2667.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.285645 0.738281 0.014648 0.017578
train2,140_2677.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.306152 0.777344 0.014648 0.019531
train2,140_2677.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.313965 0.759766 0.014648 0.017578
train2,140_2687.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.336426 0.796875 0.014648 0.019531
train2,140_2687.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.342285 0.780273 0.014648 0.017578
train2,140_2697.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.368652 0.820312 0.014648 0.019531
train2,140_2697.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.378418 0.803711 0.014648 0.017578
train2,140_2707.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.406738 0.834961 0.014648 0.019531
train2,140_2707.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.415527 0.818359 0.014648 0.017578
train2,140_2717.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.445801 0.844727 0.014648 0.019531
train2,140_2717.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.457520 0.830078 0.014648 0.017578
train2,140_2727.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.493652 0.848633 0.014648 0.019531
train2,140_2727.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.502441 0.833984 0.014648 0.017578
train2,140_2737.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.534668 0.846680 0.014648 0.019531
train2,140_2737.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.543457 0.832031 0.014648 0.017578
train2,140_2747.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.569824 0.844727 0.014648 0.019531
train2,140_2747.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.579590 0.833008 0.014648 0.017578
train2,140_2757.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.605957 0.834961 0.014648 0.019531
train2,140_2757.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.615723 0.817383 0.014648 0.017578
train2,140_2767.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.636230 0.822266 0.014648 0.019531
train2,140_2767.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.648926 0.806641 0.014648 0.017578
train2,140_2777.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.667480 0.805664 0.014648 0.019531
train2,140_2777.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.677246 0.791992 0.014648 0.017578
train2,140_2787.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.697754 0.782227 0.014648 0.019531
train2,140_2787.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.707520 0.765625 0.014648 0.017578
train2,140_2797.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.721191 0.755859 0.014648 0.019531
train2,140_2797.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.730957 0.741211 0.014648 0.017578
train2,140_2807.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.743652 0.727539 0.014648 0.019531
train2,140_2807.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.753418 0.712891 0.014648 0.017578
train2,140_2817.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.767090 0.695312 0.014648 0.019531
train2,140_2817.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.775879 0.682617 0.014648 0.017578
train2,140_2827.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.786621 0.664062 0.014648 0.019531
train2,140_2827.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.796387 0.653320 0.014648 0.017578
train2,140_2837.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.802246 0.630859 0.014648 0.019531
train2,140_2837.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.810059 0.621094 0.014648 0.017578
train2,140_2847.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.815918 0.596680 0.014648 0.019531
train2,140_2847.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.825684 0.585938 0.014648 0.017578
train2,140_2857.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.828613 0.562500 0.014648 0.019531
train2,140_2857.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.840332 0.550781 0.014648 0.017578
train2,140_2867.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.830566 0.556641 0.014648 0.019531
train2,140_2867.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.842285 0.544922 0.014648 0.017578
train2,140_2871.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.829590 0.556641 0.014648 0.019531
train2,140_2871.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.841309 0.544922 0.014648 0.017578
train2,140_2872.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.857910 0.455078 0.014648 0.019531
train2,140_2872.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.871582 0.443359 0.014648 0.017578
train2,140_2882.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.862793 0.416016 0.014648 0.019531
train2,140_2882.jpg,0,0.014648,0.017578,15.0,18.0,0.015,0 0.876465 0.404297 0.014648 0.017578
train2,140_2892.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.867676 0.381836 0.014648 0.019531
