split,image,class_id,w_norm,h_norm,w_px,h_px,min_wh_threshold,line
train2,136_346.jpg,0,0.034180,0.005859,35.0,6.0,0.015,0 0.320801 0.891602 0.034180 0.005859
train2,137_1732.jpg,0,0.012012,0.050879,12.3,52.1,0.015,0 0.993994 0.900342 0.012012 0.050879
train2,137_1742.jpg,0,0.011719,0.053711,12.0,55.0,0.015,0 0.994141 0.840332 0.011719 0.053711
train2,137_1992.jpg,0,0.004883,0.038086,5.0,39.0,0.015,0 0.997559 0.153809 0.004883 0.038086
train2,137_289.jpg,0,0.026367,0.012695,27.0,13.0,0.015,0 0.155762 0.897949 0.026367 0.012695
train2,137_349.jpg,0,0.029297,0.007812,30.0,8.0,0.015,0 0.345703 0.889648 0.029297 0.007812
train2,137_381.jpg,0,0.049805,0.014648,51.0,15.0,0.015,0 0.249512 0.891113 0.049805 0.014648
train2,138_1783.jpg,0,0.034180,0.005859,35.0,6.0,0.015,0 0.564941 0.887695 0.034180 0.005859
train2,138_1783.jpg,0,0.040039,0.001953,41.0,2.0,0.015,0 0.999512 0.915039 0.040039 0.001953
train2,138_1793.jpg,0,0.030273,0.010742,31.0,11.0,0.015,0 0.889160 0.902832 0.030273 0.010742
train2,138_1793.jpg,0,0.009766,0.013672,10.0,14.0,0.015,0 0.995117 0.909180 0.009766 0.013672
train2,138_1793.jpg,0,0.028320,0.005859,29.0,6.0,0.015,0 0.980957 0.913086 0.028320 0.005859
train2,138_348.jpg,0,0.021484,0.013672,22.0,14.0,0.015,0 0.210938 0.893555 0.021484 0.013672
train2,138_348.jpg,0,0.032227,0.013672,33.0,14.0,0.015,0 0.194824 0.894531 0.032227 0.013672
train2,138_69.jpg,0,0.008789,0.064453,9.0,66.0,0.015,0 0.004395 0.221680 0.008789 0.064453
train2,138_80.jpg,0,0.011719,0.042969,12.0,44.0,0.015,0 0.007812 0.252930 0.011719 0.042969
train2,139_1741.jpg,0,0.038086,0.012695,39.0,13.0,0.015,0 0.947754 0.906738 0.038086 0.012695
train2,139_324.jpg,0,0.036133,0.012695,37.0,13.0,0.015,0 0.136230 0.899902 0.036133 0.012695
train2,139_324.jpg,0,0.023438,0.014648,24.0,15.0,0.015,0 0.168945 0.894043 0.023438 0.014648
train2,139_324.jpg,0,0.023438,0.002930,24.0,3.0,0.015,0 0.161133 0.902832 0.023438 0.002930
train2,139_354.jpg,0,0.015625,0.001953,16.0,2.0,0.015,0 0.184570 0.901367 0.015625 0.001953
train2,139_84.jpg,0,0.014648,0.049805,15.0,51.0,0.015,0 0.007324 0.190918 0.014648 0.049805
train2,139_84.jpg,0,0.005859,0.050781,6.0,52.0,0.015,0 0.003906 0.239258 0.005859 0.050781
train2,139_84.jpg,0,0.002930,0.021484,3.0,22.0,0.015,0 0.001465 0.214844 0.002930 0.021484
train2,140_1903.jpg,0,0.010742,0.052734,11.0,54.0,0.015,0 0.994629 0.269531 0.010742 0.052734
train2,140_2273.jpg,0,0.029297,0.012695,30.0,13.0,0.015,0 0.780273 0.893066 0.029297 0.012695
train2,140_2419.jpg,0,0.043945,0.014648,45.0,15.0,0.015,0 0.458496 0.883301 0.043945 0.014648
train2,140_2483.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.148926 0.095703 0.014648 0.019531
train2,140_2487.jpg,0,0.009766,0.019531,10.0,20.0,0.015,0 0.209961 0.100586 0.009766 0.019531
train2,140_2487.jpg,0,0.014648,0.022461,15.0,23.0,0.015,0 0.188965 0.100098 0.014648 0.022461
train2,140_292.jpg,0,0.036133,0.007812,37.0,8.0,0.015,0 0.018066 0.913086 0.036133 0.007812
train2,140_2972.jpg,0,0.014648,0.019531,15.0,20.0,0.015,0 0.857910 0.095703 0.014648 0.019531
train2,140_3008.jpg,0,0.050781,0.005859,52.0,6.0,0.015,0 0.888672 0.905273 0.050781 0.005859
train2,140_3658.jpg,0,0.001953,0.029297,2.0,30.0,0.015,0 0.999023 0.351562 0.001953 0.029297
train2,140_4248.jpg,0,0.041992,0.010742,43.0,11.0,0.015,0 0.932129 0.906738 0.041992 0.010742
train2,140_918.jpg,0,0.009766,0.015625,10.0,16.0,0.015,0 0.006836 0.753906 0.009766 0.015625
train2,141_127.jpg,0,0.002930,0.050781,3.0,52.0,0.015,0 0.001465 0.126953 0.002930 0.050781
train2,141_1859.jpg,0,0.010742,0.057617,11.0,59.0,0.015,0 0.005371 0.147949 0.010742 0.057617
train2,141_2519.jpg,0,0.040039,0.014648,41.0,15.0,0.015,0 0.837402 0.896973 0.040039 0.014648
train2,141_2969.jpg,0,0.014648,0.041016,15.0,42.0,0.015,0 0.992676 0.271484 0.014648 0.041016
train2,141_2969.jpg,0,0.002930,0.044922,3.0,46.0,0.015,0 0.998535 0.338867 0.002930 0.044922
train2,141_2982.jpg,0,0.011719,0.048828,12.0,50.0,0.015,0 0.994141 0.250977 0.011719 0.048828
train2,141_3805.jpg,0,0.025977,0.014746,26.6,15.1,0.015,0 0.730859 0.889307 0.025977 0.014746
train2,142_2010.jpg,0,0.029297,0.005859,30.0,6.0,0.015,0 0.909180 0.906250 0.029297 0.005859
train2,142_2081.jpg,0,0.032227,0.004883,33.0,5.0,0.015,0 0.721191 0.894043 0.032227 0.004883
train2,142_2085.jpg,0,0.043945,0.012695,45.0,13.0,0.015,0 0.920410 0.904785 0.043945 0.012695
train2,142_2107.jpg,0,0.028320,0.003906,29.0,4.0,0.015,0 0.602051 0.889648 0.028320 0.003906
train2,142_2107.jpg,0,0.022461,0.007812,23.0,8.0,0.015,0 0.635254 0.887695 0.022461 0.007812
train2,142_2119.jpg,0,0.032227,0.006836,33.0,7.0,0.015,0 0.673340 0.890137 0.032227 0.006836
train2,142_2212.jpg,0,0.013281,0.056934,13.6,58.3,0.015,0 0.993359 0.088135 0.013281 0.056934
train2,142_2350.jpg,0,0.005859,0.040039,6.0,41.0,0.015,0 0.997070 0.097168 0.005859 0.040039
train2,142_2366.jpg,0,0.014648,0.042969,15.0,44.0,0.015,0 0.992676 0.139648 0.014648 0.042969
train2,142_3047.jpg,0,0.014648,0.058594,15.0,60.0,0.015,0 0.992676 0.501953 0.014648 0.058594
train2,142_3076.jpg,0,0.022461,0.014648,23.0,15.0,0.015,0 0.967285 0.430176 0.022461 0.014648
train2,142_3076.jpg,0,0.012695,0.017578,13.0,18.0,0.015,0 0.993652 0.484375 0.012695 0.017578
train2,142_3148.jpg,0,0.005859,0.018555,6.0,19.0,0.015,0 0.997070 0.479980 0.005859 0.018555
train2,142_3150.jpg,0,0.011719,0.018555,12.0,19.0,0.015,0 0.994141 0.479980 0.011719 0.018555
train2,142_3200.jpg,0,0.003906,0.040039,4.0,41.0,0.015,0 0.998047 0.379395 0.003906 0.040039
train2,142_3220.jpg,0,0.000977,0.032227,1.0,33.0,0.015,0 0.999512 0.413574 0.000977 0.032227
train2,142_3310.jpg,0,0.006836,0.042969,7.0,44.0,0.015,0 0.996582 0.309570 0.006836 0.042969
train2,142_3390.jpg,0,0.022461,0.014648,23.0,15.0,0.015,0 0.725098 0.520996 0.022461 0.014648
train2,142_3400.jpg,0,0.022461,0.014648,23.0,15.0,0.015,0 0.714355 0.528809 0.022461 0.014648
train2,142_3427.jpg,0,0.012695,0.033203,13.0,34.0,0.015,0 0.993652 0.219727 0.012695 0.033203
train2,142_3459.jpg,0,0.022461,0.014648,23.0,15.0,0.015,0 0.656738 0.597168 0.022461 0.014648
train2,142_3553.jpg,0,0.022461,0.014648,23.0,15.0,0.015,0 0.539551 0.729004 0.022461 0.014648
train2,142_3640.jpg,0,0.067383,0.007812,69.0,8.0,0.015,0 0.382324 0.888672 0.067383 0.007812
train2,142_3640.jpg,0,0.022461,0.009766,23.0,10.0,0.015,0 0.502441 0.884766 0.022461 0.009766
train2,142_3641.jpg,0,0.014453,0.055566,14.8,56.9,0.015,0 0.992773 0.283936 0.014453 0.055566
train2,142_3641.jpg,0,0.022461,0.009766,23.0,10.0,0.015,0 0.501465 0.884766 0.022461 0.009766
train2,142_3645.jpg,0,0.022461,0.001953,23.0,2.0,0.015,0 0.501465 0.888672 0.022461 0.001953
train2,142_3645.jpg,0,0.023438,0.003906,24.0,4.0,0.015,0 0.557617 0.888672 0.023438 0.003906
train2,142_3650.jpg,0,0.044922,0.008789,46.0,9.0,0.015,0 0.537109 0.885254 0.044922 0.008789
train2,142_3724.jpg,0,0.012402,0.036816,12.7,37.7,0.015,0 0.993799 0.432178 0.012402 0.036816
train2,142_3724.jpg,0,0.032227,0.007812,33.0,8.0,0.015,0 0.707520 0.891602 0.032227 0.007812
train2,142_3725.jpg,0,0.012891,0.039355,13.2,40.3,0.015,0 0.993555 0.435205 0.012891 0.039355
train2,142_3725.jpg,0,0.014258,0.043457,14.6,44.5,0.015,0 0.992871 0.442041 0.014258 0.043457
train2,142_3780.jpg,0,0.051758,0.002930,53.0,3.0,0.015,0 0.547363 0.889160 0.051758 0.002930
train2,142_3828.jpg,0,0.031250,0.010742,32.0,11.0,0.015,0 0.844727 0.898926 0.031250 0.010742
train2,142_3859.jpg,0,0.049805,0.011719,51.0,12.0,0.015,0 0.868652 0.901367 0.049805 0.011719
train2,142_3880.jpg,0,0.065430,0.012695,67.0,13.0,0.015,0 0.625488 0.886230 0.065430 0.012695
train2,142_4332.jpg,0,0.041992,0.007812,43.0,8.0,0.015,0 0.773926 0.895508 0.041992 0.007812
train2,142_4364.jpg,0,0.039062,0.010742,40.0,11.0,0.015,0 0.954102 0.908691 0.039062 0.010742
train2,142_4413.jpg,0,0.025293,0.014160,25.9,14.5,0.015,0 0.780518 0.893311 0.025293 0.014160
train2,142_4419.jpg,0,0.022461,0.004883,23.0,5.0,0.015,0 0.793457 0.897949 0.022461 0.004883
train2,142_4427.jpg,0,0.034180,0.008789,35.0,9.0,0.015,0 0.775879 0.895020 0.034180 0.008789
train2,142_4427.jpg,0,0.027344,0.014648,28.0,15.0,0.015,0 0.595703 0.883301 0.027344 0.014648
train2,142_4445.jpg,0,0.009766,0.076172,10.0,78.0,0.015,0 0.995117 0.266602 0.009766 0.076172
train2,142_4452.jpg,0,0.011719,0.076172,12.0,78.0,0.015,0 0.994141 0.244141 0.011719 0.076172
train2,142_4453.jpg,0,0.011719,0.076172,12.0,78.0,0.015,0 0.994141 0.244141 0.011719 0.076172
train2,142_4472.jpg,0,0.009766,0.041992,10.0,43.0,0.015,0 0.995117 0.454590 0.009766 0.041992
train2,142_4529.jpg,0,0.010742,0.045898,11.0,47.0,0.015,0 0.994629 0.191895 0.010742 0.045898
train2,142_4689.jpg,0,0.012695,0.019531,13.0,20.0,0.015,0 0.246582 0.708008 0.012695 0.019531
train2,142_4689.jpg,0,0.017578,0.013672,18.0,14.0,0.015,0 0.226562 0.700195 0.017578 0.013672
train2,142_4708.jpg,0,0.012695,0.019531,13.0,20.0,0.015,0 0.221191 0.773438 0.012695 0.019531
train2,142_4708.jpg,0,0.017578,0.013672,18.0,14.0,0.015,0 0.205078 0.764648 0.017578 0.013672
train2,142_4748.jpg,0,0.012695,0.019531,13.0,20.0,0.015,0 0.175293 0.822266 0.012695 0.019531
train2,142_4812.jpg,0,0.026367,0.002930,27.0,3.0,0.015,0 0.114746 0.906738 0.026367 0.002930
train2,142_4824.jpg,0,0.047852,0.005859,49.0,6.0,0.015,0 0.218262 0.897461 0.047852 0.005859
train2,142_4835.jpg,0,0.046875,0.010742,48.0,11.0,0.015,0 0.283203 0.891113 0.046875 0.010742
train2,142_4889.jpg,0,0.026270,0.014258,26.9,14.6,0.015,0 0.436572 0.886133 0.026270 0.014258
train2,142_4978.jpg,0,0.045898,0.002930,47.0,3.0,0.015,0 0.505371 0.888184 0.045898 0.002930
train2,142_5351.jpg,0,0.043945,0.009766,45.0,10.0,0.015,0 0.914551 0.905273 0.043945 0.009766
train2,142_5458.jpg,0,0.058594,0.011719,60.0,12.0,0.015,0 0.603516 0.885742 0.058594 0.011719
train2,142_5556.jpg,0,0.020508,0.008789,21.0,9.0,0.015,0 0.677246 0.889160 0.020508 0.008789
train2,142_5655.jpg,0,0.030078,0.012891,30.8,13.2,0.015,0 0.203027 0.895312 0.030078 0.012891
train2,142_5757.jpg,0,0.043945,0.006836,45.0,7.0,0.015,0 0.237793 0.895996 0.043945 0.006836
train2,142_5778.jpg,0,0.029395,0.014453,30.1,14.8,0.015,0 0.176025 0.898145 0.029395 0.014453
train2,142_5789.jpg,0,0.038086,0.003906,39.0,4.0,0.015,0 0.085449 0.909180 0.038086 0.003906
train2,142_5795.jpg,0,0.016602,0.004883,17.0,5.0,0.015,0 0.088379 0.907715 0.016602 0.004883
train2,142_5795.jpg,0,0.011719,0.006836,12.0,7.0,0.015,0 0.117188 0.901855 0.011719 0.006836
train2,142_5950.jpg,0,0.013184,0.050195,13.5,51.4,0.015,0 0.016943 0.502441 0.013184 0.050195
train2,142_5950.jpg,0,0.013672,0.052246,14.0,53.5,0.015,0 0.017480 0.485596 0.013672 0.052246
train2,142_5951.jpg,0,0.972656,0.013672,996.0,14.0,0.015,0 0.495117 0.647461 0.972656 0.013672
train2,142_5951.jpg,0,0.999023,0.006836,1023.0,7.0,0.015,0 0.508301 0.637207 0.999023 0.006836
train2,143_3626.jpg,0,0.026660,0.013184,27.3,13.5,0.015,0 0.149170 0.904834 0.026660 0.013184
train2,143_3677.jpg,0,0.034180,0.007812,35.0,8.0,0.015,0 0.261230 0.900391 0.034180 0.007812
train2,143_5853.jpg,0,0.044922,0.012695,46.0,13.0,0.015,0 0.622070 0.893066 0.044922 0.012695
train2,143_5946.jpg,0,0.029297,0.003906,30.0,4.0,0.015,0 0.700195 0.900391 0.029297 0.003906
train2,155_1354.jpg,0,0.041992,0.001953,43.0,2.0,0.015,0 0.774902 0.897461 0.041992 0.001953
train2,155_1394.jpg,0,0.039062,0.005859,40.0,6.0,0.015,0 0.590820 0.887695 0.039062 0.005859
train2,184_4812.jpg,0,0.012695,0.050781,13.0,52.0,0.015,0 0.993652 0.884766 0.012695 0.050781
train2,184_7054.jpg,0,0.007812,0.047852,8.0,49.0,0.015,0 0.003906 0.881348 0.007812 0.047852
train2,187_4929.jpg,0,0.010742,0.030273,11.0,31.0,0.015,0 0.994629 0.732910 0.010742 0.030273
train2,187_7179.jpg,0,0.038086,0.010742,39.0,11.0,0.015,0 0.072754 0.906738 0.038086 0.010742
train2,187_7203.jpg,0,0.035156,0.011719,36.0,12.0,0.015,0 0.039062 0.909180 0.035156 0.011719
train2,187_7229.jpg,0,0.007812,0.023438,8.0,24.0,0.015,0 0.003906 0.855469 0.007812 0.023438
train2,187_7229.jpg,0,0.011719,0.033203,12.0,34.0,0.015,0 0.005859 0.889648 0.011719 0.033203
train2,188_1336.jpg,0,0.041992,0.014648,43.0,15.0,0.015,0 0.799316 0.894043 0.041992 0.014648
train2,188_746.jpg,0,0.013672,0.040039,14.0,41.0,0.015,0 0.006836 0.168457 0.013672 0.040039
train2,188_774.jpg,0,0.014355,0.065332,14.7,66.9,0.015,0 0.007178 0.205420 0.014355 0.065332
train2,189_1215.jpg,0,0.012109,0.047363,12.4,48.5,0.015,0 0.993945 0.577881 0.012109 0.047363
train2,189_1215.jpg,0,0.012598,0.048828,12.9,50.0,0.015,0 0.993701 0.594434 0.012598 0.048828
train2,189_1216.jpg,0,0.010938,0.051367,11.2,52.6,0.015,0 0.994531 0.575879 0.010938 0.051367
train2,189_1216.jpg,0,0.010938,0.050488,11.2,51.7,0.015,0 0.994531 0.594287 0.010938 0.050488
train2,189_1456.jpg,0,0.042969,0.014648,44.0,15.0,0.015,0 0.952148 0.906738 0.042969 0.014648
train2,189_1460.jpg,0,0.042969,0.011719,44.0,12.0,0.015,0 0.946289 0.907227 0.042969 0.011719
train2,190_1588.jpg,0,0.062500,0.014648,64.0,15.0,0.015,0 0.285156 0.889160 0.062500 0.014648
train2,190_1731.jpg,0,0.012695,0.042969,13.0,44.0,0.015,0 0.006348 0.847656 0.012695 0.042969
train2,191_1103.jpg,0,0.012695,0.034180,13.0,35.0,0.015,0 0.993652 0.898926 0.012695 0.034180
train2,191_2966.jpg,0,0.061523,0.014648,63.0,15.0,0.015,0 0.110840 0.902832 0.061523 0.014648
train2,192_2120.jpg,0,0.011328,0.051855,11.6,53.1,0.015,0 0.005664 0.900244 0.011328 0.051855
train2,192_266.jpg,0,0.014648,0.044922,15.0,46.0,0.015,0 0.007324 0.102539 0.014648 0.044922
train2,192_266.jpg,0,0.005859,0.037109,6.0,38.0,0.015,0 0.002930 0.222656 0.005859 0.037109
train2,192_2711.jpg,0,0.008789,0.040039,9.0,41.0,0.015,0 0.004395 0.894043 0.008789 0.040039
train2,192_2712.jpg,0,0.012695,0.040039,13.0,41.0,0.015,0 0.006348 0.895996 0.012695 0.040039
train2,192_2783.jpg,0,0.052734,0.012695,54.0,13.0,0.015,0 0.150391 0.899902 0.052734 0.012695
train2,192_2903.jpg,0,0.014453,0.055664,14.8,57.0,0.015,0 0.007227 0.777637 0.014453 0.055664
train2,192_603.jpg,0,0.007812,0.073242,8.0,75.0,0.015,0 0.996094 0.593262 0.007812 0.073242
train2,192_904.jpg,0,0.013672,0.061523,14.0,63.0,0.015,0 0.993164 0.420410 0.013672 0.061523
train2,192_960.jpg,0,0.012695,0.036133,13.0,37.0,0.015,0 0.993652 0.469238 0.012695 0.036133
train2,193_1129.jpg,0,0.012695,0.046875,13.0,48.0,0.015,0 0.993652 0.097656 0.012695 0.046875
train2,193_1232.jpg,0,0.005859,0.044922,6.0,46.0,0.015,0 0.997070 0.236328 0.005859 0.044922
train2,193_1241.jpg,0,0.008789,0.050781,9.0,52.0,0.015,0 0.995605 0.704102 0.008789 0.050781
train2,193_1273.jpg,0,0.013672,0.055664,14.0,57.0,0.015,0 0.993164 0.729980 0.013672 0.055664
train2,193_1890.jpg,0,0.012695,0.049805,13.0,51.0,0.015,0 0.006348 0.836426 0.012695 0.049805
train2,193_3403.jpg,0,0.058594,0.013672,60.0,14.0,0.015,0 0.835938 0.897461 0.058594 0.013672
train2,194_10021.jpg,0,0.043945,0.009766,45.0,10.0,0.015,0 0.340332 0.888672 0.043945 0.009766
train2,194_1237.jpg,0,0.053711,0.014648,55.0,15.0,0.015,0 0.889160 0.901855 0.053711 0.014648
train2,194_189.jpg,0,0.005859,0.045898,6.0,47.0,0.015,0 0.002930 0.135254 0.005859 0.045898
train2,194_7278.jpg,0,0.010937,0.048047,11.2,49.2,0.015,0 0.005469 0.780566 0.010937 0.048047
train2,194_7459.jpg,0,0.051758,0.010742,53.0,11.0,0.015,0 0.310059 0.890137 0.051758 0.010742
train2,194_8539.jpg,0,0.037109,0.012695,38.0,13.0,0.015,0 0.116211 0.901855 0.037109 0.012695
train2,194_8607.jpg,0,0.003906,0.021484,4.0,22.0,0.015,0 0.001953 0.886719 0.003906 0.021484
train2,194_8613.jpg,0,0.009766,0.036133,10.0,37.0,0.015,0 0.004883 0.861816 0.009766 0.036133
train2,195_10215.jpg,0,0.044922,0.012695,46.0,13.0,0.015,0 0.607422 0.885254 0.044922 0.012695
train2,195_1057.jpg,0,0.013672,0.055664,14.0,57.0,0.015,0 0.993164 0.357910 0.013672 0.055664
train2,195_1821.jpg,0,0.011719,0.039062,12.0,40.0,0.015,0 0.005859 0.180664 0.011719 0.039062
train2,195_5935.jpg,0,0.011719,0.059570,12.0,61.0,0.015,0 0.994141 0.124512 0.011719 0.059570
train2,195_7587.jpg,0,0.008789,0.023438,9.0,24.0,0.015,0 0.995605 0.534180 0.008789 0.023438
train2,195_7680.jpg,0,0.007812,0.046875,8.0,48.0,0.015,0 0.996094 0.575195 0.007812 0.046875
train2,195_7753.jpg,0,0.014648,0.053711,15.0,55.0,0.015,0 0.992676 0.223145 0.014648 0.053711
train2,195_7868.jpg,0,0.012207,0.055469,12.5,56.8,0.015,0 0.993896 0.371777 0.012207 0.055469
train2,195_7868.jpg,0,0.012109,0.053320,12.4,54.6,0.015,0 0.993945 0.390625 0.012109 0.053320
train2,195_7992.jpg,0,0.009766,0.027344,10.0,28.0,0.015,0 0.995117 0.902344 0.009766 0.027344
train2,195_8001.jpg,0,0.012598,0.031152,12.9,31.9,0.015,0 0.993701 0.903760 0.012598 0.031152
train2,195_8111.jpg,0,0.013672,0.042969,14.0,44.0,0.015,0 0.993164 0.891602 0.013672 0.042969
train2,196_10054.jpg,0,0.041016,0.011719,42.0,12.0,0.015,0 0.553711 0.884766 0.041016 0.011719
train2,196_10065.jpg,0,0.041016,0.007812,42.0,8.0,0.015,0 0.573242 0.886719 0.041016 0.007812
train2,196_10078.jpg,0,0.041016,0.006836,42.0,7.0,0.015,0 0.598633 0.888184 0.041016 0.006836
train2,196_1253.jpg,0,0.012695,0.041016,13.0,42.0,0.015,0 0.993652 0.879883 0.012695 0.041016
train2,196_1732.jpg,0,0.013672,0.035156,14.0,36.0,0.015,0 0.006836 0.178711 0.013672 0.035156
train2,196_1735.jpg,0,0.008789,0.035156,9.0,36.0,0.015,0 0.004395 0.175781 0.008789 0.035156
train2,196_465.jpg,0,0.012695,0.051758,13.0,53.0,0.015,0 0.007324 0.242676 0.012695 0.051758
train2,196_5879.jpg,0,0.010742,0.052734,11.0,54.0,0.015,0 0.994629 0.210938 0.010742 0.052734
train2,196_7253.jpg,0,0.013574,0.050488,13.9,51.7,0.015,0 0.015088 0.372217 0.013574 0.050488
train2,196_7494.jpg,0,0.035156,0.008789,36.0,9.0,0.015,0 0.541016 0.885254 0.035156 0.008789
train2,196_7716.jpg,0,0.014648,0.028320,15.0,29.0,0.015,0 0.992676 0.655762 0.014648 0.028320
train2,196_7934.jpg,0,0.011719,0.036133,12.0,37.0,0.015,0 0.994141 0.520996 0.011719 0.036133
train2,196_8275.jpg,0,0.047852,0.009766,49.0,10.0,0.015,0 0.499512 0.884766 0.047852 0.009766
train2,196_8494.jpg,0,0.009766,0.040039,10.0,41.0,0.015,0 0.005859 0.752441 0.009766 0.040039
train2,196_919.jpg,0,0.012695,0.051758,13.0,53.0,0.015,0 0.993652 0.510254 0.012695 0.051758
train2,196_9750.jpg,0,0.008789,0.044922,9.0,46.0,0.015,0 0.005371 0.755859 0.008789 0.044922
